Anti-Malware Logs,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Summary,807 out of exported 807 entries are found and exported.,,,,,,,,,,,
Filter,,,,,,,,,,,,
Time,"2024-11-01 00:00:00 - 2024-12-01 23:59:59
",,,,,,,,,,,
Sort by time,Descending,,,,,,,,,,,
Endpoint,All,,,,,,,,,,,
IP Address,All,,,,,,,,,,,
Event Type,All,,,,,,,,,,,
Status,All,,,,,,,,,,,
Result,,,,,,,,,,,,
No.,Time Detected,Endpoint,IP Address,Type,Threat,Infected File,Time Created ,File MD5,Status,Time Fixed,Engine,Antivirus database version
607,2024-11-06 21:15:21,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 21:15:21,File Reputation Database,20180825222616
608,2024-11-06 21:14:18,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 21:14:18,File Reputation Database,20180825222616
609,2024-11-06 21:13:15,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 21:13:15,File Reputation Database,20180825222616
610,2024-11-06 21:12:12,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 21:12:12,File Reputation Database,20180825222616
611,2024-11-06 21:11:09,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 21:11:09,File Reputation Database,20180825222616
612,2024-11-06 21:10:06,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 21:10:06,File Reputation Database,20180825222616
613,2024-11-06 21:09:04,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 21:09:04,File Reputation Database,20180825222616
614,2024-11-06 21:08:02,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 21:08:02,File Reputation Database,20180825222616
615,2024-11-06 21:07:00,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 21:07:00,File Reputation Database,20180825222616
616,2024-11-06 21:05:58,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 21:05:58,File Reputation Database,20180825222616
617,2024-11-06 21:04:56,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 21:04:56,File Reputation Database,20180825222616
618,2024-11-06 21:03:54,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 21:03:54,File Reputation Database,20180825222616
619,2024-11-06 21:02:52,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 21:02:52,File Reputation Database,20180825222616
620,2024-11-06 21:01:51,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 21:01:51,File Reputation Database,20180825222616
621,2024-11-06 21:00:48,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 21:00:48,File Reputation Database,20180825222616
622,2024-11-06 20:59:47,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:59:47,File Reputation Database,20180825222616
623,2024-11-06 20:58:44,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:58:44,File Reputation Database,20180825222616
624,2024-11-06 20:57:41,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:57:41,File Reputation Database,20180825222616
625,2024-11-06 20:56:38,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:56:38,File Reputation Database,20180825222616
626,2024-11-06 20:55:35,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:55:35,File Reputation Database,20180825222616
627,2024-11-06 20:54:32,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:54:32,File Reputation Database,20180825222616
628,2024-11-06 20:53:29,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:53:29,File Reputation Database,20180825222616
629,2024-11-06 20:52:27,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:52:27,File Reputation Database,20180825222616
630,2024-11-06 20:51:25,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:51:25,File Reputation Database,20180825222616
631,2024-11-06 20:50:23,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:50:23,File Reputation Database,20180825222616
632,2024-11-06 20:49:21,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:49:21,File Reputation Database,20180825222616
633,2024-11-06 20:48:19,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:48:19,File Reputation Database,20180825222616
634,2024-11-06 20:47:17,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:47:17,File Reputation Database,20180825222616
635,2024-11-06 20:46:15,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:46:15,File Reputation Database,20180825222616
636,2024-11-06 20:45:13,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:45:13,File Reputation Database,20180825222616
637,2024-11-06 20:44:12,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:44:12,File Reputation Database,20180825222616
638,2024-11-06 20:43:10,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:43:10,File Reputation Database,20180825222616
639,2024-11-06 20:42:07,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:42:07,File Reputation Database,20180825222616
640,2024-11-06 20:41:04,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:41:04,File Reputation Database,20180825222616
641,2024-11-06 20:40:01,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:40:01,File Reputation Database,20180825222616
642,2024-11-06 20:38:58,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:38:58,File Reputation Database,20180825222616
643,2024-11-06 20:37:55,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:37:55,File Reputation Database,20180825222616
644,2024-11-06 20:36:52,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:36:52,File Reputation Database,20180825222616
645,2024-11-06 20:35:50,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:35:50,File Reputation Database,20180825222616
646,2024-11-06 20:34:48,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:34:48,File Reputation Database,20180825222616
647,2024-11-06 20:33:46,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:33:46,File Reputation Database,20180825222616
648,2024-11-06 20:32:44,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:32:44,File Reputation Database,20180825222616
649,2024-11-06 20:31:42,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:31:42,File Reputation Database,20180825222616
650,2024-11-06 20:30:40,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:30:40,File Reputation Database,20180825222616
651,2024-11-06 20:29:38,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:29:38,File Reputation Database,20180825222616
652,2024-11-06 20:28:36,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:28:36,File Reputation Database,20180825222616
653,2024-11-06 20:27:35,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:27:35,File Reputation Database,20180825222616
654,2024-11-06 20:26:33,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:26:33,File Reputation Database,20180825222616
655,2024-11-06 20:25:30,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:25:30,File Reputation Database,20180825222616
656,2024-11-06 20:24:27,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:24:27,File Reputation Database,20180825222616
657,2024-11-06 20:23:24,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:23:24,File Reputation Database,20180825222616
658,2024-11-06 20:22:21,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:22:21,File Reputation Database,20180825222616
659,2024-11-06 20:21:18,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:21:18,File Reputation Database,20180825222616
660,2024-11-06 20:20:15,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:20:15,File Reputation Database,20180825222616
661,2024-11-06 20:19:13,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:19:13,File Reputation Database,20180825222616
662,2024-11-06 20:18:11,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:18:11,File Reputation Database,20180825222616
663,2024-11-06 20:17:09,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:17:09,File Reputation Database,20180825222616
664,2024-11-06 20:16:07,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:16:07,File Reputation Database,20180825222616
665,2024-11-06 20:15:05,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:15:05,File Reputation Database,20180825222616
666,2024-11-06 20:14:04,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:14:04,File Reputation Database,20180825222616
667,2024-11-06 20:13:01,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:13:01,File Reputation Database,20180825222616
668,2024-11-06 20:11:59,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:11:59,File Reputation Database,20180825222616
669,2024-11-06 20:10:57,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:10:57,File Reputation Database,20180825222616
670,2024-11-06 20:09:54,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:09:54,File Reputation Database,20180825222616
671,2024-11-06 20:08:51,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:08:51,File Reputation Database,20180825222616
672,2024-11-06 20:07:49,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 20:09:21,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 20:07:49,File Reputation Database,20180825222616
673,2024-11-06 15:23:32,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-06 14:57:13,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-06 15:23:32,File Reputation Database,20180825222616
674,2024-11-06 14:13:17,hpkkvia2,172.22.68.10,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 09:21:38,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:13,Sangfor Cloud-Based Antivirus Engine,20241126125034
675,2024-11-05 14:40:43,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-05 14:31:48,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-05 14:40:43,File Reputation Database,20180825222616
676,2024-11-05 13:26:40,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-05 13:00:13,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-05 13:26:40,File Reputation Database,20180825222616
677,2024-11-05 11:25:02,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-05 10:58:32,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-05 11:25:02,File Reputation Database,20180825222616
678,2024-11-04 14:26:48,3F-PC-026,172.22.63.16,Others,Suspicious.Win32.Save.a,c:\users\lib\desktop\pdfedit.exe,2022-12-07 10:27:13,F915181700513D98DE4E76F8FE8758E7,Trusted,2024-11-04 14:26:48,Sangfor Engine Zero,20241101194856
679,2024-11-04 14:26:41,3F-PC-026,172.22.63.16,Others,Suspicious.Win32.Save.a,c:\users\lib\desktop\pdfedit.exe,2022-12-07 10:27:13,F915181700513D98DE4E76F8FE8758E7,Pending,2024-11-04 14:26:41,Sangfor Engine Zero,20241101194856
680,2024-11-04 11:39:19,LG1-PC-FTP,172.22.80.139,Others,Suspicious.Win32.Save.a,h:\adobe-acrobat_pro-002.20895\adobe acrobat pro dc 2024.002.20895 x86 multilingual\crack\patch.exe,2024-10-22 09:02:59,AA83F9801FBDF4E11E8A7C470224F412,Pending,2024-11-04 11:39:19,Sangfor Engine Zero,20241101194856
681,2024-11-04 08:02:22,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\program files\common files\system\symsrv.dll,2024-11-04 07:08:11,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-04 08:02:22,File Reputation Database,20180825222616
682,2024-11-04 08:02:22,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-04 07:08:11,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-04 08:02:22,File Reputation Database,20180825222616
683,2024-11-04 07:58:57,6F-PC-023,172.22.66.51,Trojan,Trojan.Script.108595,f:\autorun.inf_backup,2020-08-12 20:55:19,2F38F9F8534BA776348702EAD75F5F3E,Pending,2024-11-04 07:58:57,Gene Analysis Engine,20241101194856
684,2024-11-03 07:37:18,4F-PC-011,172.22.61.191,Others,Suspicious.Win32.Save.a,g:\adobe-acrobat_pro-002.20895\adobe acrobat pro dc 2024.002.20895 x86 multilingual\crack\patch.exe,2024-10-22 09:02:59,AA83F9801FBDF4E11E8A7C470224F412,Pending,2024-11-03 07:37:18,Sangfor Engine Zero,20241029172851
685,2024-11-01 20:31:01,1F-PC-245,172.22.59.9,Others,Gen:Variant.Graftor.245808,e:\ \4c2w0uuosmw0ui 6uiggae8y2w0quosi6qwkk.qak4kuaqeec,2024-11-01 19:00:02,632168B31D64A9C552ADF421C5716BA1,Pending,2024-11-01 20:31:01,Gene Analysis Engine,20241029172851
686,2024-11-01 18:23:22,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\program files\common files\system\symsrv.dll,2024-11-01 18:26:47,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-01 18:23:22,File Reputation Database,20180825222616
687,2024-11-01 17:23:22,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\program files\common files\system\symsrv.dll,2024-11-01 17:26:46,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-01 17:23:22,File Reputation Database,20180825222616
688,2024-11-01 16:30:17,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Save.a,c:\program files (x86)\medweb\plugin\vcruntime140.dll,2016-06-09 22:46:52,B38BC9FC8DDF1764793698BCB0106E95,Fixed successfully.,2024-11-01 16:30:17,Sangfor Engine Zero,20180825222616
689,2024-11-01 13:52:17,5F-PC-083,172.22.80.244,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:46,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:31,Gene Analysis Engine,20241126125034
690,2024-11-01 13:36:19,hpkkplazadb,172.22.36.13,Trojan,Trojan.Win32.Save.a,c:\windows\temp\onedrive.exe,2023-09-01 01:31:13,08B5889AF26C2C16AC90F99F5B36481C,Pending,2024-11-01 13:36:19,Sangfor Engine Zero,20241029172851
691,2024-11-01 13:36:19,hpkkplazadb,172.22.36.13,Trojan,Trojan.Win32.Save.a,c:\program files\google\chrome\updater.exe,2023-08-30 03:38:46,65E7F6E26F792FA94E8AF5371FD6331A,Pending,2024-11-01 13:36:19,Sangfor Engine Zero,20241029172851
692,2024-11-01 13:36:19,hpkkplazadb,172.22.36.13,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 06:18:22,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:33,Gene Analysis Engine,20241126125034
693,2024-11-01 13:23:25,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Save.a,c:\program files (x86)\common files\adobe\arm\1.0\armsvc.exe,2024-07-31 10:15:04,2270BFB1C9F2FCDEB8EB10F60BBC4CF6,Fixed successfully.,2024-11-01 13:23:25,Sangfor Engine Zero,20180825222616
694,2024-11-01 13:23:25,GF-PC-080,172.22.59.145,Others,Suspicious.Win32.Save.a,c:\program files (x86)\medweb\plugin\mwipcserver.exe,2017-11-17 14:14:24,691582FC66E06644D956443DAF5D4ACB,Fixed successfully.,2024-11-01 13:23:25,Sangfor Engine Zero,20180825222616
695,2024-11-01 13:15:26,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-01 12:49:48,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-01 13:15:26,File Reputation Database,20180825222616
696,2024-11-01 13:15:26,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\program files\common files\system\symsrv.dll,2024-11-01 12:49:48,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-01 13:15:26,File Reputation Database,20180825222616
697,2024-11-01 13:13:47,4F-PC-027,172.22.61.195,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:21,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:29,Gene Analysis Engine,20241126125034
698,2024-11-01 13:12:29,2F-PC-196,172.22.59.12,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:11,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:33,Gene Analysis Engine,20241126125034
